"endTime","artistName","trackName","msPlayed","trackGenre"
"2022-04-08 12:30","Nach","Efectos Vocales","239835","Hiphop/Rap"
"2022-04-08 12:43","La Oreja de Van Gogh","Jueves","140160","BaladaPop"
"2022-04-08 12:54","Los Hitmen","Loco por Verte","256907","Reggaeton"
"2022-04-08 13:03","Aventura","El Malo","238702","Bachata"
"2022-04-08 13:06","Swedish House Mafia","Lifetime (with Ty Dolla $ign & 070 Shake)","186805","ElecrtoPop"
"2022-04-08 13:22","Don Omar","Pensando En Ti","74764","Reggaeton"
"2022-04-08 15:41","Don Omar","Canci?n De Amor - En Directo","231160","Reggaeton"
"2022-04-08 15:45","Kanye West","FML","236101","HipHop"
"2022-04-08 15:58","Dirty Palm","So Sick","133139","ElectroHouse"
"2022-04-08 17:05","yaeow","I Need U (Remix)","149630","ElectroHouse"
"2022-04-08 17:10","Eddy Lover","Luna","262665","Reggaeton"
"2022-04-08 17:12","Labrinth","Mount Everest","157479","R&B/Pop"
"2022-04-08 17:48","Eiffel 65","Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio","283747","ElectroPop"
"2022-04-08 17:52","Selena Gomez","Lose You To Love Me","206458","Pop"
"2022-04-08 17:57","Camilo","Manos de Tijera","267263","Balada"
"2022-04-08 17:59","Nicky Jam","Ojos Rojos","152092","Reggaeton"
"2022-04-08 18:03","Tony Dize","Ruleta Rusa","233120","Reggaeton"
"2022-04-08 18:07","Celia Cruz","Rie y Llora","250358","Salsa"
"2022-04-08 18:11","JAY-Z","Ni**as In Paris","219333","HipHop/Rap"
"2022-04-08 18:13","Kanye West","Pt. 2","130293","HipHop"
"2022-04-08 18:18","Drake","Take Care","277386","HipHop"
"2022-04-08 18:23","Porter Robinson","Goodbye To A World","328506","ElectroPop/R&B"
"2022-04-08 18:31","The Cranberries","Zombie","306440","RockPop"
"2022-04-08 18:36","Simply Red","Holding Back the Years - 2008 Remaster","269840","Pop"
"2022-04-08 18:40","Beow?lf","Lose A Friend","202605","ElectroPop"
"2022-04-08 18:44","Wisin & Yandel","Hipnot?zame","243386","Reggaeton"
"2022-04-08 18:48","Ozuna","Una Locura","230693","Reggaeton"
"2022-04-08 18:51","Flex","Te Quiero","199089","Reggaeton"
"2022-04-08 18:54","Bad Bunny","Estamos Bien","208079","Reggaeton"
"2022-04-08 18:56","Mike Posner","I Took A Pill In Ibiza - Seeb Remix","54374","ElecrtoPop"
"2022-04-08 19:02","Sa-Roc","Goddess Gang","195884","HipHop/Rap"
"2022-04-08 19:06","Prince Royce","C?rame (feat. Manuel Turizo)","203919","Bachata"
"2022-04-08 19:09","Zeo Munoz","Millones de Gallos Rojos (Bonus Track) [feat. Wason Brazoban]","217380","BaladaPop"
"2022-04-08 19:13","M83","Midnight City","243950","ElectroPop"
"2022-04-08 19:17","Jacob Banks","Unholy War","209752","ElectroPop/R&B"
"2022-04-08 19:20","Rafa Espino","Vete Pero No Te Marches","197603","R&B/Pop"
"2022-04-08 19:24","Trebol Clan","Gata Fiera (feat. Joan)","208098","Reggaeton"
"2022-04-08 19:32","Bizarrap","Residente: Bzrp Music Sessions, Vol. 49","519289","Reggaeton"
"2022-04-08 19:51","Jacob Banks","Unknown (To You)","233160","ElectroPop/R&B"
"2022-04-08 19:54","Franco ""El Gorilla""","He Querido Quererte","208640","Reggaeton"
"2022-04-08 19:58","Makano","Te Amo","227092","Reggaeton"
"2022-04-08 20:07","Zion","Zun Da Da","304089","Reggaeton"
"2022-04-08 20:15","Addict.","Replace You","30672","R&B/Pop"
"2022-04-08 20:21","?ejo & Dalmata","Pasarela","227464","Reggaeton"
"2022-04-08 20:27","Baby Rasta & Gringo","Ella Se Contradice - Remix","361013","Reggaeton"
"2022-04-08 20:31","Alexis y Fido","Mala Conducta (feat. Franco El Gorila)","19815","Reggaeton"
"2022-04-08 20:31","Don Omar","Sincero","218391","Reggaeton"
"2022-04-08 20:39","Zion","Fantasma","235311","Reggaeton"
"2022-04-08 20:42","yaeow","Lost In Between","23966","ElectroHouse"
"2022-04-08 21:52","Feid","TENGO FE","146844","Reggaeton"
"2022-04-08 21:56","DJ Snake","A Different Way (with Lauv)","183315","ElectroPop"
"2022-04-08 22:18","Ricardo Arjona","El Demonio en Casa","204327","BaladaPop"
"2022-04-08 23:19","Goodbye June","Liberty Mother - Bonus Track","148445","Rock"
"2022-04-08 23:29","Chelsea Cutler","Your Shirt","230000","ElectroPop"
"2022-04-08 23:32","Russ","Psycho, Pt. 2","161983","R&B/Pop"
"2022-04-08 23:35","Yahritza Y Su Esencia","Soy El Unico","213996","unknown_value_please_contact_support"
"2022-04-08 23:40","Gianluca Grignani","Mi Historia Entre Tus Dedos","309640","BAlada"
"2022-04-08 23:47","Tego Calder?n","Quitarte To","210506","unknown_value_please_contact_support"
"2022-04-08 23:51","The Outfield","Your Love","216457","unknown_value_please_contact_support"
"2022-04-08 23:55","Lytos","Solo","256626","R&B/Pop"
"2022-04-08 23:59","Leo Rizzi","Amapolas","205716","unknown_value_please_contact_support"
"2022-04-09 00:04","Alex Gargolas","Inocentes","279832","Reggaeton"
"2022-04-09 00:09","LA INDIA","Mi Mayor Venganza","313560","unknown_value_please_contact_support"
"2022-04-09 00:13","Lytos","Lo Siento","227276","R&B/Pop"
"2022-04-09 00:16","Stromae","L?enfer","189708","ElectroPop/R&B"
